0.440687, 1, 0.718719, 0.615796, 0.56481, 0.533997, 0.513109, 0.49768, 0.486403, 0.477627, 0.471272, 0.46625
0.438331, 1, 0.70133, 0.58647, 0.526343, 0.487969, 0.460958, 0.440827, 0.425327, 0.412887, 0.403035, 0.394799
0.436, 1, 0.704826, 0.595464, 0.541876, 0.510371, 0.489849, 0.476031, 0.466331, 0.45897, 0.453223, 0.449117
0.433694, 1, 0.685688, 0.562704, 0.498665, 0.458507, 0.430412, 0.409572, 0.39347, 0.380629, 0.370208, 0.361568
0.431413, 1, 0.672818, 0.542458, 0.472597, 0.427759, 0.395552, 0.370988, 0.35163, 0.33612, 0.32376, 0.313464
0.429155, 1, 0.663595, 0.528763, 0.456399, 0.409601, 0.375949, 0.349677, 0.328633, 0.311547, 0.297796, 0.286642
0.426921, 1, 0.648082, 0.504134, 0.426425, 0.376013, 0.339585, 0.311673, 0.289508, 0.272074, 0.257877, 0.246248
0.424709, 1, 0.640152, 0.490981, 0.408839, 0.354961, 0.316133, 0.286836, 0.264004, 0.246322, 0.2327, 0.22199
0.422521, 1, 0.636079, 0.486544, 0.405453, 0.353118, 0.315727, 0.28763, 0.26559, 0.248137, 0.233617, 0.222235
0.420355, 1, 0.6227, 0.464876, 0.378243, 0.322105, 0.281769, 0.251108, 0.227234, 0.208863, 0.194463, 0.182808
0.418211, 1, 0.612537, 0.449536, 0.359094, 0.299411, 0.256184, 0.222856, 0.196937, 0.175978, 0.158569, 0.144096
0.416089, 1, 0.607005, 0.441346, 0.350113, 0.290076, 0.247213, 0.2149, 0.189864, 0.169935, 0.154115, 0.141906
0.413988, 1, 0.600366, 0.432064, 0.339278, 0.279233, 0.236432, 0.20412, 0.178883, 0.159579, 0.144376, 0.132582
0.411909, 1, 0.589441, 0.414574, 0.317691, 0.254361, 0.208828, 0.175061, 0.149589, 0.129529, 0.113536, 0.100898
0.40985, 1, 0.581585, 0.403214, 0.304312, 0.239254, 0.192641, 0.157827, 0.130878, 0.109589, 0.0927959, 0.0798022
0.407812, 1, 0.576076, 0.395574, 0.296329, 0.232915, 0.18887, 0.156591, 0.132153, 0.114043, 0.100484, 0.0908356
0.405794, 1, 0.571015, 0.389405, 0.289539, 0.225345, 0.179969, 0.146469, 0.121182, 0.102652, 0.0886942, 0.0782465
0.403795, 1, 0.563807, 0.378583, 0.276406, 0.211113, 0.165804, 0.132368, 0.106343, 0.0861726, 0.0706679, 0.0583524
