NaN, 0.565232, 0.557546, 0.550065, 0.542783, 0.535691, 0.528783, 0.52205, 0.515486, 0.509085, 0.502842, 0.496749, 0.490803, 0.484997, 0.479327, 0.473788, 0.468376, 0.463085, 0.457913, 0.452856, 0.447908, 0.443068, 0.438331, 0.433694, 0.429155, 0.424709, 0.420355, 0.416089, 0.411909, 0.407812, 0.403795, 0.399857, 0.395995, 0.392207, 0.388491, 0.384844, 0.381266, 0.377753, 0.374304, 0.370918, 0.367592, 0.364326
-0.2, -0.974394, -0.972109, -0.969748, -0.967564, -0.964922, -0.961987, -0.959801, -0.956727, -0.953547, -0.949109, -0.945663, -0.941932, -0.938132, -0.933566, -0.92874, -0.924588, -0.919149, -0.913299, -0.908261, -0.902545, -0.895704, -0.88852, -0.883137, -0.876054, -0.869825, -0.859602, -0.849235, -0.843871, -0.83227, -0.821359, -0.812527, -0.801781, -0.792794, -0.780477, -0.768386, -0.755106, -0.746303, -0.727945, -0.720226, -0.705382, -0.689427
-0.18, -0.973332, -0.971122, -0.969085, -0.966582, -0.96381, -0.961292, -0.958184, -0.95439, -0.951347, -0.947043, -0.944008, -0.939932, -0.935971, -0.931125, -0.92635, -0.920686, -0.91519, -0.910133, -0.903581, -0.897075, -0.891088, -0.882479, -0.876544, -0.868622, -0.860082, -0.851557, -0.841984, -0.832064, -0.824792, -0.809489, -0.802067, -0.788553, -0.775477, -0.76688, -0.751486, -0.737791, -0.727021, -0.712636, -0.700433, -0.685585, -0.668414
-0.16, -0.972689, -0.970372, -0.967596, -0.964834, -0.962105, -0.959351, -0.95604, -0.952423, -0.949105, -0.945573, -0.941042, -0.936417, -0.932294, -0.927596, -0.921293, -0.917037, -0.911386, -0.905471, -0.898562, -0.891266, -0.884063, -0.876244, -0.867596, -0.860969, -0.852777, -0.84287, -0.832392, -0.821814, -0.808516, -0.796389, -0.786814, -0.771712, -0.760136, -0.747339, -0.736301, -0.717812, -0.705713, -0.691094, -0.677179, -0.656819, -0.639343
-0.14, -0.971119, -0.96913, -0.96629, -0.963497, -0.960687, -0.957997, -0.954132, -0.950802, -0.946354, -0.94315, -0.939505, -0.933778, -0.929037, -0.924584, -0.919471, -0.913479, -0.90707, -0.900164, -0.893563, -0.885186, -0.878264, -0.868703, -0.860818, -0.851169, -0.840716, -0.829906, -0.820888, -0.807732, -0.797046, -0.783676, -0.76903, -0.757266, -0.739709, -0.729009, -0.710449, -0.695935, -0.680521, -0.660174, -0.648883, -0.629946, -0.609309
-0.12, -0.970138, -0.967631, -0.964936, -0.96187, -0.959344, -0.95606, -0.951781, -0.947988, -0.944935, -0.940594, -0.935512, -0.931348, -0.926107, -0.919939, -0.914424, -0.90834, -0.900465, -0.89413, -0.887515, -0.877798, -0.872134, -0.859839, -0.851229, -0.839841, -0.831237, -0.815468, -0.805725, -0.792561, -0.773857, -0.762166, -0.747396, -0.734127, -0.72128, -0.692068, -0.679692, -0.663263, -0.645426, -0.631358, -0.607933, -0.585348, -0.575528
-0.1, -0.969295, -0.966622, -0.963484, -0.960362, -0.956683, -0.954006, -0.950167, -0.946816, -0.942478, -0.937334, -0.93245, -0.926409, -0.920922, -0.915795, -0.90899, -0.902761, -0.894384, -0.887451, -0.879729, -0.871429, -0.860943, -0.8484, -0.838385, -0.826179, -0.816392, -0.804736, -0.784337, -0.773208, -0.758296, -0.73994, -0.729864, -0.712118, -0.689696, -0.660263, -0.648585, -0.622433, -0.605525, -0.589251, -0.56608, -0.54003, -0.514624
-0.08, -0.967429, -0.965074, -0.962059, -0.958734, -0.955193, -0.952132, -0.947616, -0.943581, -0.938521, -0.933913, -0.929084, -0.92318, -0.916947, -0.910494, -0.904804, -0.895618, -0.88869, -0.878437, -0.870289, -0.86176, -0.850495, -0.839292, -0.829258, -0.811309, -0.797069, -0.785654, -0.76875, -0.754648, -0.730678, -0.711325, -0.690242, -0.664263, -0.6422, -0.627116, -0.595836, -0.579074, -0.555341, -0.523199, -0.496087, -0.471402, -0.465219
-0.06, -0.966902, -0.963697, -0.960426, -0.956834, -0.953737, -0.949187, -0.945422, -0.939893, -0.935732, -0.930636, -0.924235, -0.919138, -0.912001, -0.905657, -0.896343, -0.889175, -0.879848, -0.867593, -0.859486, -0.845878, -0.832485, -0.821502, -0.80828, -0.794129, -0.77511, -0.755359, -0.733312, -0.713428, -0.679772, -0.662185, -0.639769, -0.617179, -0.580813, -0.565585, -0.521161, -0.495327, -0.482414, -0.448632, -0.417466, -0.407043, -0.382465
-0.04, -0.964912, -0.961673, -0.958587, -0.954453, -0.950791, -0.946746, -0.941798, -0.937947, -0.932079, -0.92631, -0.919792, -0.91228, -0.904903, -0.896801, -0.888787, -0.878152, -0.86885, -0.858882, -0.847362, -0.830182, -0.81367, -0.799045, -0.775953, -0.767795, -0.740251, -0.709593, -0.680339, -0.652035, -0.625423, -0.594896, -0.57218, -0.532945, -0.474951, -0.472343, -0.414107, -0.375079, -0.368429, -0.348288, -0.318296, -0.307244, -0.284032
