0.431186, 1, 0.691918, 0.577881, 0.522705, 0.491181, 0.472561
0.42893, 1, 0.680108, 0.559464, 0.499851, 0.465272, 0.443918
0.426698, 1, 0.668398, 0.54043, 0.475545, 0.437063, 0.411905
0.42449, 1, 0.662481, 0.532042, 0.466136, 0.42731, 0.402704
0.422303, 1, 0.644762, 0.502429, 0.427699, 0.381915, 0.3523
0.42014, 1, 0.641754, 0.499554, 0.425945, 0.381941, 0.354275
0.417998, 1, 0.633291, 0.487203, 0.411845, 0.367541, 0.340245
0.415878, 1, 0.626864, 0.477273, 0.400262, 0.354066, 0.324662
0.413779, 1, 0.615802, 0.460816, 0.379848, 0.331242, 0.300802
0.411702, 1, 0.60778, 0.447885, 0.364512, 0.313916, 0.281725
0.409645, 1, 0.599696, 0.435915, 0.350302, 0.298926, 0.266396
0.407609, 1, 0.590564, 0.422623, 0.334483, 0.281539, 0.247474
0.405593, 1, 0.5829, 0.410584, 0.319926, 0.264829, 0.229826
0.403597, 1, 0.579075, 0.405572, 0.31483, 0.259935, 0.224716
0.40162, 1, 0.571357, 0.395246, 0.303257, 0.248178, 0.213423
0.399662, 1, 0.563416, 0.383337, 0.289394, 0.233333, 0.197285
0.397724, 1, 0.557346, 0.374585, 0.278617, 0.220692, 0.184511
0.395804, 1, 0.551908, 0.366975, 0.271358, 0.214774, 0.179932
0.393903, 1, 0.545911, 0.35827, 0.260299, 0.201825, 0.164609
0.39202, 1, 0.540805, 0.351127, 0.252794, 0.194981, 0.158999
0.390154, 1, 0.53529, 0.344049, 0.245241, 0.186695, 0.149557
0.388307, 1, 0.529297, 0.3358, 0.236513, 0.178527, 0.14289
0.386477, 1, 0.524222, 0.328848, 0.2281, 0.169806, 0.133975
0.384664, 1, 0.520478, 0.324837, 0.224696, 0.166624, 0.131552
0.382868, 1, 0.515408, 0.317408, 0.216701, 0.158447, 0.122623
0.381088, 1, 0.509711, 0.310856, 0.210114, 0.151852, 0.116608
0.379325, 1, 0.505487, 0.303867, 0.201993, 0.142745, 0.10691
0.377579, 1, 0.500808, 0.29859, 0.196995, 0.139293, 0.104632
0.375848, 1, 0.493882, 0.288092, 0.185127, 0.125986, 0.0909583
0.374133, 1, 0.492259, 0.286925, 0.184265, 0.125434, 0.089927
0.372434, 1, 0.489539, 0.284241, 0.182478, 0.125476, 0.091019
0.37075, 1, 0.48313, 0.27566, 0.173199, 0.115492, 0.0813399
0.369081, 1, 0.482039, 0.276074, 0.17508, 0.118625, 0.0853956
0.367428, 1, 0.478922, 0.271796, 0.170954, 0.11495, 0.082055
0.365789, 1, 0.474161, 0.26569, 0.164229, 0.10775, 0.0747338
0.364164, 1, 0.469514, 0.259802, 0.158369, 0.102494, 0.06952
0.362554, 1, 0.467266, 0.258284, 0.158074, 0.103319, 0.0716236
0.360958, 1, 0.463221, 0.25305, 0.152366, 0.0979162, 0.0668253
0.359376, 1, 0.458078, 0.246741, 0.146577, 0.0927011, 0.0618668
0.357808, 1, 0.458808, 0.248754, 0.148634, 0.095133, 0.0647383
0.356253, 1, 0.452097, 0.239798, 0.139408, 0.0855178, 0.0549384
