0.431186, -1.37343, 1.57177
0.42893, -1.35209, 1.54305
0.426698, -1.32763, 1.52903
0.42449, -1.32838, 1.55724
0.422303, -1.29776, 1.48211
0.42014, -1.28654, 1.49357
0.417998, -1.26989, 1.43683
0.415878, -1.25152, 1.40173
0.413779, -1.22889, 1.37783
0.411702, -1.21864, 1.33455
0.409645, -1.19349, 1.24491
0.407609, -1.18665, 1.22412
0.405593, -1.1726, 1.20398
0.403597, -1.15789, 1.14924
0.40162, -1.14479, 1.1056
0.399662, -1.13489, 1.06942
0.397724, -1.11465, 1.00583
0.395804, -1.10839, 1.00431
0.393903, -1.09325, 0.957979
0.39202, -1.08124, 0.921282
0.390154, -1.06742, 0.871767
0.388307, -1.06266, 0.866913
0.386477, -1.05169, 0.835077
0.384664, -1.042, 0.811648
0.382868, -1.02556, 0.781034
0.381088, -1.01709, 0.73291
0.379325, -1.00781, 0.699403
0.377579, -1.00432, 0.716358
0.375848, -0.990777, 0.676021
0.374133, -0.98575, 0.676161
0.372434, -0.97736, 0.668806
0.37075, -0.971769, 0.627889
0.369081, -0.963555, 0.625
0.367428, -0.952213, 0.609951
0.365789, -0.943496, 0.592147
0.364164, -0.940039, 0.586864
0.362554, -0.932592, 0.561737
0.360958, -0.927259, 0.568106
0.359376, -0.916954, 0.536734
0.357808, -0.913834, 0.543487
0.356253, -0.9064, 0.529614
